ticker,signal,confidence,ma_status,rsi_zone,volume_trend,reasons
PG,SELL,80,역배열,중립,증가,"주가가 20일, 50일, 200일 이동평균선 아래에서 거래되고 있어 전반적인 하락 추세가 뚜렷함 | 단기 이동평균선이 장기 이동평균선을 하향 돌파하는 역배열 상태가 지속되고 있음 | 최근 차트 우측 끝부분에서 대량 거래를 동반한 장대 음봉이 발생하여 강력한 매도 압력을 확인 | 직전 지지선으로 작용하던 구간을 하향 돌파하며 추가 하락 가능성이 열려 있음"
CVX,HOLD,80,정배열,중립,증가,이동평균선(20/50/200)이 완벽한 정배열 상태를 유지하고 있어 장기 상승 추세는 여전히 유효함 | 최근 급격한 주가 상승 이후 단기 차익 실현 매물 출회로 인한 가격 조정 구간에 진입함 | 거래량이 최근 변동성 확대와 함께 증가하고 있어 지지선 확인을 위한 관망이 필요한 시점임 | 현재 주가가 20일 이동평균선 부근까지 하락하며 단기 지지 여부를 테스트하고 있음
UNH,SELL,80,역배열,중립,보합,주가가 장기 및 단기 이동평균선 아래에 위치하며 명확한 하락 추세를 지속하고 있음 | 최근 $300 부근의 주요 지지선이 붕괴되면서 추가 하락 압력이 거세진 상태임 | 이동평균선들이 역배열 상태를 유지하고 있어 기술적 반등이 나오더라도 저항에 부딪힐 가능성이 높음
AAPL,HOLD,75,혼조,중립,보합,주가가 단기 이동평균선(청록색) 아래로 내려왔으나 장기 이동평균선(주황색) 및 하단 추세선(빨간색)의 지지를 시험 중임 | 장기적인 우상향 추세는 유지되고 있으나 단기적으로는 고점 대비 조정 국면에 진입함 | 거래량이 폭발적으로 증가하지 않아 추세 반전의 확신이 부족한 상태임 | 현재 가격대가 주요 지지선 부근이므로 추가 하락 여부를 확인한 후 진입하는 것이 안전함
HON,HOLD,75,정배열,중립,보합,이동평균선이 정배열 상태를 유지하며 장기적인 상승 추세가 유효함 | 최근 주가가 20일 이평선(하늘색)을 하향 돌파하며 단기 조정 국면에 진입함 | 50일 이평선(주황색)의 지지 여부를 확인하며 관망하는 전략이 유리함 | 거래량이 급증하지 않은 상태에서의 조정으로 매도 압력이 아주 강하지는 않음
AMZN,HOLD,75,역배열,중립,감소,최근 대량 거래를 동반한 갭 하락 이후 저점에서 횡보하며 바닥을 다지는 구간 | 단기(20일) 및 중기(50일) 이동평균선이 역배열 상태로 하락 압력이 잔존함 | 추세 전환을 확인하기 위한 거래량 동반 양봉이 아직 나타나지 않음
JPM,HOLD,75,혼조,중립,보합,단기 이동평균선(20일)이 중기 이동평균선(50일)을 하향 돌파하는 데드크로스가 발생하여 단기 하락 압력이 강함 | 주가가 20일 및 50일 이동평균선 아래에 위치하고 있어 추세적 반등 확인이 필요함 | 현재 주가가 장기 지지선 역할을 할 수 있는 200일 이동평균선 부근까지 하락하여 지지 여부를 지켜봐야 하는 구간임 | 최근 거래량이 급격히 늘지 않으면서 하락하고 있어 매도세가 정점에 달하지 않은 것으로 판단됨
LLY,HOLD,75,역배열,중립,보합,주가가 20일 및 50일 이동평균선을 하향 돌파하며 단기 하락 추세로 전환됨 | 20일 이평선이 50일 이평선을 하향 돌파하려는 데드크로스 징후 포착 | 현재 주가가 장기 지지선(200일선 추정) 부근까지 하락하여 지지 여부 확인이 필요한 시점 | 최근 하락 과정에서 거래량이 크게 실리지 않아 기술적 반등 가능성 대기 필요
APH,HOLD,75,혼조,중립,보합,주가가 20일 및 50일 이동평균선을 하향 돌파하며 단기 하락 추세가 강화됨 | 현재 주가가 장기 지지선인 200일 이동평균선(붉은 선)에 근접하고 있어 지지 여부 확인이 필요함 | 최근 고점 대비 조정이 진행 중이나 급격한 거래량 실린 투매 현상은 보이지 않음
PEP,HOLD,70,혼조,중립,감소,"최근 170달러 부근 고점 형성 후 급격한 가격 조정을 보이며 단기 하락 추세에 진입함 | 20일 이동평균선이 50일 이동평균선을 하향 돌파(데드크로스)하며 단기 추세가 악화됨 | 현재 주가가 200일 이동평균선(빨간색 선) 방향으로 하락 중이며, 해당 구간에서의 지지 여부 확인이 필요함 | 하락 과정에서 거래량이 폭발적이지 않아 투매보다는 차익 실현 매물 출회로 판단됨"
ABBV,HOLD,70,혼조,중립,증가,주가가 20일 및 50일 이동평균선을 하향 돌파하며 단기 추세가 하락으로 전환됨 | 최근 하락 과정에서 대량 거래를 동반한 장대음봉이 발생하여 매도 압력이 강해짐 | 200일 장기 이동평균선과의 이격이 여전히 존재하여 추가 조정 가능성이 열려 있음 | 단기 데드크로스 발생으로 인해 지지선 확인 전까지는 보수적인 관망이 유리함
NVDA,HOLD,65,혼조,중립,보합,주가가 20일 및 50일 이동평균선 아래로 하향 돌파하며 단기 하락 추세 진입 | 20일 이평선이 50일 이평선을 하향 돌파하는 데드크로스 발생으로 매수 심리 위축 | 현재 주가가 이전 지지선 부근에 위치하고 있어 추가 하락 여부 확인 필요 | 거래량이 평이한 수준을 유지하고 있어 급격한 반등이나 추가 폭락의 신호가 부족함
